Designator,Mid X,Mid Y,Rotation,Layer
C1,116.8625,-103.0,180.0,top
C2,117.8625,-106.0,90.0,top
C3,115.8625,-106.0,90.0,top
C4,118.0,-131.0,90.0,top
C5,116.0,-110.0,0.0,top
C6,119.0,-118.0,270.0,top
C7,112.0,-110.0,0.0,top
C8,121.0,-118.0,270.0,top
D1,102.2063,-126.5,180.0,top
D2,124.5,-130.5,180.0,top
H1,123.0,-104.0,0.0,top
H2,104.0,-104.0,0.0,top
H3,104.0,-131.0,0.0,top
H4,131.0,-131.0,0.0,top
H5,131.0,-104.0,0.0,top
J1,103.5,-117.5,270.0,top
J2,125.555,-118.0,90.0,top
R1,105.5,-110.0,90.0,top
R2,102.5,-110.0,90.0,top
R3,105.8313,-126.5,0.0,top
R4,124.5,-128.5,180.0,top
R5,118.0,-127.0,90.0,top
R6,119.5,-122.0,270.0,top
R7,119.5,-113.0,90.0,top
U1,114.0,-114.0,270.0,top
U2,111.0,-105.0,270.0,top
U3,114.0,-120.0,270.0,top
U4,112.5,-129.77,0.0,top
